ADM_RATE,SAT_AVG,UGDS,COSTT4_A,C150_4,UGDS_WOMEN,STUFACR,MD_EARN_WNE_1YR,STATE
0.3775,1409.0,2143.0,76698.0,0.8515,0.4951,9.0,47872.0,Connecticut
0.1944,1426.0,3250.0,78735.0,0.9102,0.5615,8.0,39556.0,Connecticut
0.0531,1526.0,6535.0,79320.0,0.9692,0.5143,6.0,60511.0,Connecticut
0.7235,1260.0,18707.0,26131.0,0.8228,0.5833,15.0,48980.0,Delaware
0.6409,1381.0,8158.0,56065.0,0.787,0.6326,12.0,47279.0,District of Columbia
0.6169,941.0,998.0,39166.0,0.5787,0.5431,6.0,31462.0,District of Columbia
0.4971,1419.0,10929.0,62835.0,0.8366,0.6316,12.0,60822.0,District of Columbia
0.1198,1488.0,7395.0,59760.0,0.952,0.5724,11.0,69193.0,District of Columbia
0.3525,1181.0,8902.0,49250.0,0.6358,0.7217,13.0,38139.0,District of Columbia
1.0,1015.0,252.0,19623.0,0.5641,0.4881,9.0,26990.0,Florida
0.9984,910.0,2513.0,23794.0,0.3248,0.6236,15.0,26929.0,Florida
0.8301,1121.0,2632.0,57262.0,0.502,0.4996,18.0,35126.0,Florida
0.3637,1271.0,59710.0,21605.0,0.7494,0.5503,30.0,39293.0,Florida
0.723,1240.0,6899.0,56196.0,0.622,0.2471,18.0,62466.0,Florida
0.3529,1068.0,7005.0,23895.0,0.5537,0.6605,14.0,31695.0,Florida
0.7801,1119.0,23695.0,19375.0,0.5545,0.5802,21.0,38973.0,Florida
0.7404,1102.0,2631.0,36055.0,0.579,0.6697,15.0,33869.0,Florida
0.6588,1254.0,3219.0,58177.0,0.663,0.297,14.0,62925.0,Florida
0.6401,1155.0,39936.0,19479.0,0.6708,0.5664,24.0,38857.0,Florida
0.6088,1268.0,2741.0,54324.0,0.6773,0.6392,14.0,40090.0,Florida
0.3707,1280.0,33368.0,22906.0,0.8322,0.5713,22.0,38690.0,Florida
0.3013,1396.0,34044.0,21295.0,0.9089,0.5635,17.0,45803.0,Florida
0.7762,1135.0,2627.0,56108.0,0.4784,0.6106,13.0,59879.0,Florida
0.2849,1402.0,11928.0,69206.0,0.8351,0.5347,13.0,50273.0,Florida
0.7749,1113.0,13862.0,16874.0,0.6712,0.5708,19.0,40115.0,Florida
0.925,1187.0,6578.0,50279.0,0.6051,0.7212,17.0,60914.0,Florida
0.8986,1139.0,2274.0,51321.0,0.6081,0.6464,12.0,34903.0,Florida
0.7066,1063.0,6456.0,38889.0,0.4625,0.6103,16.0,42341.0,Florida
0.4938,1245.0,36681.0,21248.0,0.7463,0.5684,22.0,39907.0,Florida
0.7086,971.0,1797.0,50484.0,0.4124,0.4808,10.0,36395.0,Florida
