ADM_RATE,SAT_AVG,C150_4,UGDS_WOMEN,STUFACR
0.6998,1175.0,0.5891,0.6021,14.0
0.8532,1183.0,0.4249,0.668,18.0
0.8138,1119.0,0.5925,0.5088,16.0
0.5629,1181.0,0.5606,0.5081,12.0
0.8815,1112.0,0.6255,0.5776,14.0
0.8642,1062.0,0.5536,0.6634,20.0
0.7586,1205.0,0.7576,0.5047,12.0
0.0648,1535.0,0.959,0.4767,5.0
0.7174,1036.0,0.5074,0.6131,14.0
0.7129,1145.0,0.6841,0.6188,13.0
0.5205,951.0,0.1576,0.6353,10.0
0.7954,1008.0,0.4846,0.4529,11.0
0.788,1212.0,0.6226,0.5318,19.0
0.8002,1168.0,0.4665,0.4986,13.0
0.5966,1422.0,0.8488,0.4615,21.0
0.6611,1328.0,0.7143,0.3219,12.0
0.9154,1125.0,0.6727,0.5703,19.0
0.624,1054.0,0.669,0.5374,11.0
0.6443,1271.0,0.7303,0.5836,12.0
0.7126,1147.0,0.6046,0.5088,13.0
0.7698,1311.0,0.7197,0.6821,14.0
1.0,980.0,0.5556,0.8872,8.0
0.7481,1106.0,0.5478,0.5631,9.0
0.684,1156.0,0.6444,0.5155,13.0
0.6714,1055.0,0.6117,0.5943,10.0
0.0697,1529.0,0.9523,0.5338,6.0
0.6055,1105.0,0.6384,0.5725,15.0
0.598,1162.0,0.4173,0.4938,14.0
0.6678,1014.0,0.3171,0.5617,10.0
0.9229,1030.0,0.3951,0.6058,11.0
0.8094,1060.0,0.5217,0.6888,10.0
0.6823,1060.0,0.6464,0.6899,13.0
0.7949,1140.0,0.5341,0.5289,12.0
0.9515,1086.0,0.4531,0.4825,10.0
0.9807,1072.0,0.5179,0.5733,15.0
0.7624,1122.0,0.6684,0.6478,9.0
0.9142,1038.0,0.4459,0.4013,12.0
0.8625,1351.0,0.876,0.5506,11.0
0.6245,1070.0,0.6295,0.5409,9.0
0.6817,1124.0,0.6795,0.6136,14.0
0.8055,1278.0,0.8377,0.5957,11.0
0.6908,1259.0,0.7262,0.5436,7.0
0.7495,1179.0,0.6932,0.6107,10.0
0.9465,1092.0,0.6125,0.4614,11.0
0.9285,1163.0,0.6477,0.6083,9.0
0.8316,1123.0,0.707,0.6101,20.0
0.7877,1108.0,0.686,0.5958,12.0
0.832,1114.0,0.3829,0.4923,13.0
0.8361,1152.0,0.5661,0.5939,13.0
0.9641,1139.0,0.5024,0.65,16.0
0.9035,1096.0,0.4273,0.6482,15.0
0.8894,1085.0,0.3787,0.6494,12.0
0.8504,1298.0,0.8085,0.4987,17.0
0.8548,1056.0,0.3765,0.7344,14.0
0.9005,1115.0,0.3873,0.5982,12.0
0.8051,1106.0,0.4265,0.6601,13.0
0.9191,1109.0,0.7116,0.6362,12.0
0.1507,1490.0,0.959,0.4842,9.0
0.7262,1061.0,0.6329,0.4983,12.0
0.774,1385.0,0.8674,0.2453,11.0
0.994,1066.0,0.5583,0.703,11.0
0.7032,1048.0,0.6232,0.8253,10.0
0.8307,1195.0,0.7446,1.0,9.0
0.7852,1159.0,0.6362,0.3682,16.0
0.6598,1094.0,0.6278,0.6292,11.0
0.8878,1065.0,0.5449,0.4487,8.0
0.7323,1199.0,0.741,0.4713,14.0
0.6907,1311.0,0.7815,0.6031,11.0
0.5614,1162.0,0.56,0.5118,15.0
0.6662,1038.0,0.474,0.5184,13.0
