ADM_RATE,SAT_AVG,C150_4,UGDS_WOMEN,STUFACR
0.9412,1050.0,0.3866,0.6069,19.0
0.7524,1231.0,0.7341,0.4941,11.0
0.8254,1184.0,0.6947,0.6122,16.0
0.7945,1345.0,0.7416,0.6384,12.0
0.6798,1056.0,0.6024,0.5894,13.0
0.9062,1193.0,0.5556,0.4777,15.0
0.8921,1232.0,0.6818,0.4788,18.0
0.9104,1177.0,0.7077,0.6068,10.0
0.9843,1099.0,0.5381,0.5622,19.0
0.8119,1287.0,0.8077,0.6216,11.0
0.897,1103.0,0.4103,0.5979,20.0
0.375,1103.0,0.6436,0.5575,12.0
0.9056,1151.0,0.4819,0.4897,6.0
0.7822,1180.0,0.6932,0.6349,13.0
0.8242,1184.0,0.6181,0.6653,10.0
0.345,1387.0,0.8795,0.5277,9.0
0.8004,1106.0,0.5231,0.5967,14.0
0.9708,1050.0,0.4836,0.5631,19.0
0.9205,1057.0,0.5229,0.8465,11.0
0.1354,1520.0,0.9277,0.4984,5.0
0.6878,1125.0,0.6369,0.9376,9.0
0.9791,995.0,0.6262,0.5786,9.0
0.9283,1157.0,0.5362,0.5931,13.0
0.8263,1317.0,0.7822,0.4878,10.0
0.8426,1235.0,0.7833,0.6358,13.0
0.9339,1060.0,0.4854,0.5651,18.0
0.9237,1088.0,0.4716,0.6024,16.0
0.7948,1182.0,0.755,0.5933,12.0
0.8359,1134.0,0.6427,0.5964,13.0
0.906,1095.0,0.5462,0.7736,10.0
0.7703,1075.0,0.5621,0.7548,13.0
0.7958,1161.0,0.6862,0.7117,9.0
0.942,1044.0,0.5559,0.6125,22.0
0.8215,1045.0,0.4607,0.546,13.0
0.9725,1095.0,0.539,0.5632,19.0
0.9813,1062.0,0.5139,0.6159,12.0
0.96,1114.0,0.6162,0.523,15.0
0.7764,1184.0,0.6791,0.5321,11.0
0.4597,1422.0,0.8734,0.4603,10.0
0.7975,983.0,0.4901,0.6625,13.0
0.9499,1085.0,0.5389,0.6027,15.0
0.944,1061.0,0.4891,0.6321,18.0
0.8186,1118.0,0.6975,0.6818,11.0
0.7738,1230.0,0.7696,0.6094,12.0
0.9637,1110.0,0.5659,0.5913,19.0
0.842,1002.0,0.4925,0.6397,15.0
0.0587,1523.0,0.9622,0.5495,6.0
0.6132,1215.0,0.774,0.6781,12.0
0.6668,1370.0,0.8428,0.5567,14.0
0.8232,1077.0,0.6088,0.6299,12.0
0.8002,1084.0,0.4956,0.5624,12.0
0.8309,1229.0,0.8319,0.5255,10.0
0.7303,1103.0,0.7275,0.4389,11.0
0.8029,1200.0,0.7883,0.5826,12.0
0.9312,1075.0,0.5802,0.515,18.0
0.795,1081.0,0.6845,0.5583,19.0
0.8804,1067.0,0.4686,0.472,11.0
0.7809,1235.0,0.7101,0.7481,13.0
0.2524,1437.0,0.9129,0.5433,11.0
0.8936,1165.0,0.7275,0.6015,20.0
0.8214,1149.0,0.7279,0.5219,12.0
0.8453,1178.0,0.6844,0.5771,12.0
0.9477,1150.0,0.6138,0.5436,13.0
0.9287,1080.0,0.5345,0.7907,13.0
0.7769,1130.0,0.6559,0.5634,14.0
0.0551,1517.0,0.9584,0.5119,6.0
0.7361,1222.0,0.8359,0.369,13.0
0.5798,1246.0,0.8895,0.5487,11.0
0.7646,1200.0,0.7005,0.568,17.0
0.1868,1399.0,0.8618,0.6654,9.0
0.5721,1082.0,0.4927,0.6446,13.0
0.5661,1079.0,0.5213,0.6716,13.0
0.7611,1211.0,0.67,0.6644,16.0
0.4922,1339.0,0.8547,0.5124,16.0
0.9763,1050.0,0.3661,0.5935,12.0
0.4563,1049.0,0.6211,0.5236,16.0
0.6267,1041.0,0.4009,0.35,15.0
0.8613,1011.0,0.4321,0.6627,13.0
0.7135,1375.0,0.8189,0.5994,9.0
0.6905,1057.0,0.5331,0.6857,16.0
0.6974,1097.0,0.5731,0.5264,11.0
0.7098,1123.0,0.5916,0.5016,11.0
0.8352,1051.0,0.4288,0.6502,16.0
0.6156,1286.0,0.7817,0.5519,18.0
0.7914,1118.0,0.5115,0.551,17.0
0.8759,937.0,0.3041,0.5521,15.0
0.757,1065.0,0.4741,0.6722,15.0
0.639,1114.0,0.5823,0.673,12.0
0.7182,1215.0,0.7057,0.6303,11.0
0.9725,1065.0,0.4248,0.6621,17.0
0.8561,1133.0,0.4675,0.3089,18.0
0.7574,1113.0,0.5486,0.5367,12.0
0.6737,1098.0,0.61,0.4775,12.0
0.7982,1086.0,0.4757,0.5938,16.0
0.9373,1019.0,0.3465,0.5832,11.0
0.8048,1266.0,0.5231,0.2293,11.0
0.8743,1119.0,0.5955,0.5349,17.0
0.8701,1122.0,0.601,0.6304,14.0
0.9343,1085.0,0.4234,0.6071,15.0
0.3492,1120.0,0.6034,0.9077,8.0
0.8808,1272.0,0.6822,0.6518,14.0
0.4995,981.0,0.3774,0.4785,13.0
0.7887,1112.0,0.5654,0.5734,14.0
0.9657,1108.0,0.5916,0.5535,11.0
0.7399,1224.0,0.7126,0.6071,14.0
0.874,1135.0,0.5058,0.6192,15.0
0.6111,1167.0,0.4567,0.6663,15.0
0.8788,1180.0,0.6473,0.5577,13.0
0.8092,1098.0,0.6145,0.5145,10.0
0.6619,1084.0,0.4615,0.6387,11.0
0.8294,1169.0,0.5799,0.6249,13.0
0.699,1102.0,0.5301,0.7187,10.0
0.9216,1058.0,0.3415,0.5628,13.0
0.684,1133.0,0.5367,0.544,16.0
0.5688,1388.0,0.8541,0.5845,10.0
0.6026,1318.0,0.8017,0.5281,10.0
0.5962,1064.0,0.5167,0.6414,10.0
0.8568,1149.0,0.5373,0.5834,18.0
0.7494,1303.0,0.7213,0.5402,17.0
0.7512,1119.0,0.5169,0.6074,15.0
0.7703,1092.0,0.4064,0.5211,19.0
0.5289,1259.0,0.6833,0.6557,9.0
0.0714,1534.0,0.9338,0.511,8.0
0.7011,1186.0,0.6023,0.6084,13.0
0.7007,1061.0,0.446,0.5775,19.0
0.4271,1237.0,0.6827,0.5348,11.0
0.5669,1288.0,0.8162,0.6018,16.0
0.8904,1025.0,0.374,0.6755,17.0
0.9128,1081.0,0.3592,0.6071,17.0
0.94,1093.0,0.6134,0.5738,14.0
0.5836,1271.0,0.7176,0.5662,12.0
0.9601,1053.0,0.2372,0.6311,14.0
0.8666,1051.0,0.4185,0.5937,18.0
0.9459,1068.0,0.5158,0.5284,15.0
0.8487,1155.0,0.4393,0.6538,16.0
0.9119,1071.0,0.5307,0.6415,17.0
0.6552,1235.0,0.6204,0.5133,21.0
0.5003,918.0,0.331,0.599,16.0
0.9422,1042.0,0.576,0.633,13.0
0.8806,1012.0,0.3867,0.5919,18.0
0.5438,992.0,0.486,0.6149,21.0
0.5419,1250.0,0.6374,0.3894,15.0
0.9518,1107.0,0.4291,0.64,12.0
0.9934,1084.0,0.5255,0.6499,17.0
0.7835,1147.0,0.3098,0.4951,11.0
0.8142,1127.0,0.6018,0.5394,25.0
0.6578,989.0,0.3497,0.6793,11.0
0.77,966.0,0.416,0.6786,19.0
0.0948,1534.0,0.9234,0.4844,6.0
0.9842,1123.0,0.616,0.6116,14.0
0.9658,1041.0,0.5728,0.6378,20.0
0.8378,1073.0,0.4533,0.5502,15.0
0.5313,1448.0,0.8241,0.4951,12.0
0.8541,1013.0,0.4259,0.5167,16.0
0.8313,1076.0,0.5292,0.6356,17.0
0.6999,1088.0,0.5696,0.5963,22.0
0.5751,1031.0,0.4545,0.6051,12.0
1.0,941.0,0.2875,0.6082,11.0
0.5681,1050.0,0.4883,0.6368,21.0
0.9287,1006.0,0.4347,0.4995,17.0
0.6428,1275.0,0.8336,0.4739,19.0
0.927,1115.0,0.5111,0.6181,24.0
0.2875,1371.0,0.8775,0.5664,17.0
0.9388,1136.0,0.4217,0.6161,17.0
0.5361,1291.0,0.8284,0.6027,14.0
0.6469,1034.0,0.4165,0.5786,13.0
0.905,1119.0,0.5095,0.5228,26.0
0.6305,919.0,0.2344,0.6422,15.0
0.6786,1209.0,0.6266,0.4886,21.0
0.5753,1012.0,0.263,0.5481,13.0
0.957,1060.0,0.485,0.9118,17.0
0.3372,1392.0,0.799,0.5253,9.0
0.9704,1085.0,0.4566,0.5909,17.0
0.5918,1342.0,0.7675,0.5133,21.0
0.8873,1149.0,0.5472,0.5731,23.0
0.9263,1217.0,0.5578,0.546,21.0
0.9497,1257.0,0.672,0.4815,18.0
0.7573,1265.0,0.6331,0.6392,8.0
0.8729,1054.0,0.5506,0.5462,14.0
0.1345,1466.0,0.9117,0.5347,9.0
0.6351,1351.0,0.7713,0.6216,17.0
0.4772,1033.0,0.4173,0.4644,12.0
0.7509,1166.0,0.6208,0.5372,13.0
0.3654,1447.0,0.9103,0.5846,12.0
0.4071,1130.0,0.62,0.6168,21.0
0.8854,1219.0,0.7473,0.5449,13.0
0.9523,1346.0,0.5512,0.5961,11.0
0.913,1250.0,0.7013,0.4955,16.0
0.8625,1233.0,0.8175,0.5786,16.0
0.8998,1098.0,0.6518,0.695,13.0
0.8192,1244.0,0.6803,0.6454,11.0
0.8864,969.0,0.3712,0.6771,15.0
0.9623,1126.0,0.4869,0.5607,16.0
0.9531,1054.0,0.5391,0.6126,13.0
0.938,1071.0,0.5598,0.6189,8.0
0.8003,1175.0,0.4167,1.0,10.0
0.5647,1320.0,0.8661,0.4269,14.0
0.9277,1187.0,0.6755,0.6324,18.0
0.2074,1457.0,0.9371,0.5623,15.0
0.9608,941.0,0.4778,0.5998,13.0
0.9378,840.0,0.4176,0.5034,25.0
0.8637,1287.0,0.4682,0.6101,12.0
0.1885,1487.0,0.9361,0.5119,8.0
0.9946,1119.0,0.4323,0.6108,14.0
0.7615,1321.0,0.8511,0.5411,11.0
0.9598,1164.0,0.5813,0.6499,11.0
0.8839,1247.0,0.6938,0.6396,11.0
0.883,1293.0,0.7423,0.5745,9.0
0.7162,1103.0,0.6089,0.6088,11.0
0.9195,1178.0,0.6594,0.6748,13.0
0.8212,1246.0,0.749,0.613,11.0
0.961,1206.0,0.677,0.574,17.0
0.9146,1187.0,0.7539,0.5901,11.0
0.6653,1030.0,0.3183,0.3867,13.0
0.4615,1126.0,0.5714,0.4731,7.0
0.7355,1061.0,0.4318,0.4652,12.0
0.9563,1042.0,0.4191,0.5822,15.0
0.9875,1018.0,0.4536,0.5891,14.0
0.978,1085.0,0.5219,0.5812,17.0
0.9641,1087.0,0.4413,0.6037,14.0
0.7385,1069.0,0.4226,0.6425,11.0
0.8443,1070.0,0.5434,0.5337,12.0
0.8982,1154.0,0.6394,0.5162,18.0
0.7807,1057.0,0.5652,0.3806,12.0
0.8529,1105.0,0.5862,0.927,13.0
0.8891,1062.0,0.5375,0.6429,6.0
0.705,1202.0,0.6742,0.6992,14.0
0.7569,1143.0,0.6804,0.5608,13.0
0.6859,1150.0,0.592,0.6149,12.0
0.803,1147.0,0.5682,0.5897,12.0
0.7627,1050.0,0.5584,0.6608,12.0
0.8626,1292.0,0.8136,0.564,13.0
0.6672,1284.0,0.6599,0.2709,13.0
0.6236,1000.0,0.5068,1.0,10.0
0.8515,1275.0,0.7804,0.5826,13.0
0.7746,1148.0,0.6464,0.7706,11.0
0.8297,1085.0,0.6347,0.4829,20.0
0.7746,1170.0,0.6805,0.6119,20.0
0.9143,1100.0,0.5461,0.6349,23.0
0.7385,1170.0,0.7302,0.5754,19.0
0.9802,1192.0,0.6105,0.5738,12.0
0.8989,1065.0,0.5518,0.575,21.0
0.7497,1085.0,0.4151,0.5697,17.0
0.9139,1150.0,0.5611,0.4207,19.0
0.7623,1085.0,0.4298,0.6506,16.0
0.6035,1359.0,0.892,0.5252,17.0
0.8896,1100.0,0.4735,0.5406,18.0
0.8757,1150.0,0.5896,0.3596,20.0
0.8624,1120.0,0.5664,0.6609,19.0
0.9016,1120.0,0.5545,0.5603,20.0
0.0395,1528.0,0.9552,0.5058,5.0
0.6881,1328.0,0.8266,0.4217,14.0
0.6272,1358.0,0.7162,0.4891,7.0
0.7418,1236.0,0.6628,0.6741,6.0
0.5241,1296.0,0.9055,0.6529,7.0
0.8921,1104.0,0.5621,0.5707,22.0
0.8298,1121.0,0.653,0.5632,22.0
0.8045,1153.0,0.5642,0.4466,15.0
0.7578,1154.0,0.5845,0.4942,21.0
1.0,1000.0,0.4074,0.6208,10.0
0.8581,1215.0,0.5,0.4918,10.0
0.8477,1112.0,0.652,0.5203,25.0
0.9767,1120.0,0.625,0.3212,5.0
0.7328,1195.0,0.5019,0.6579,16.0
0.9939,1066.0,0.2195,0.5617,18.0
0.8116,1139.0,0.3608,0.5646,18.0
0.5457,1295.0,0.5561,0.1668,18.0
0.8992,958.0,0.3692,0.678,14.0
0.8159,1150.0,0.4858,0.4983,22.0
0.6035,1197.0,0.7005,0.5026,9.0
0.7636,1098.0,0.4028,0.5686,15.0
1.0,1154.0,0.2901,0.4223,18.0
0.9226,1260.0,0.7228,0.4625,15.0
